"";"V0001";"V0002";"V0011";"V0300";"V0010";"V1001";"V1002";"V1003";"V1004";"V1006.";"V0303";"V0304";"V0305";"V3061";"M0303";"M0304";"M0305";"M3061"
"48";35;49904;"3549904005006";3650729;22,7151962597516;3;13;50;0;1;1;1965;2000;8000724;2;2;2;2
"49";35;49904;"3549904005006";3651396;28,9466314930057;3;13;50;0;1;2;1981;2010;8000276;2;2;2;2
"50";35;49904;"3549904005006";5264879;25,3754793027369;3;13;50;0;1;1;1961;1996;8000036;2;2;2;2
"51";35;49904;"3549904005006";5264879;25,3754793027369;3;13;50;0;1;1;1971;1999;8000372;2;2;2;2
"52";35;49904;"3549904005007";1169934;11,3305567890753;3;13;50;0;2;1;1985;2008;8000372;2;2;2;2
"53";35;49904;"3549904005007";4482669;21,3429683915628;3;13;50;0;1;2;1983;2009;8000840;2;2;2;2
"54";35;49904;"3549904005007";4766325;9,8105248702965;3;13;50;0;2;2;1990;2006;8000124;2;2;2;2
"55";35;49904;"3549904005007";5035061;15,738012205079;3;13;50;0;1;2;1974;2005;8000620;2;2;2;2
"56";35;49904;"3549904005009";249413;19,3580956610021;3;13;50;0;1;1;1974;2006;8000840;2;2;2;2
"57";35;49904;"3549904005009";397552;21,0397891497732;3;13;50;0;1;1;1979;2010;8000250;2;2;2;2
"58";35;49904;"3549904005009";495172;21,619032681698;3;13;50;0;1;1;1961;2010;8000724;2;2;2;2
"59";35;49904;"3549904005009";495172;21,619032681698;3;13;50;0;1;2;1981;2007;8000724;2;2;2;2
"60";35;49904;"3549904005009";1259495;26,5428730113987;3;13;50;0;1;1;1986;2008;8000840;2;2;2;2
"61";35;49904;"3549904005009";1259495;26,5428730113987;3;13;50;0;1;1;1986;2008;8000840;2;2;2;2
"62";35;49904;"3549904005009";1700293;22,2524727851287;3;13;50;0;1;2;1983;2008;8000840;2;2;2;2
"63";35;49904;"3549904005009";2411625;16,8364827137495;3;13;50;0;1;1;1988;2010;8000250;2;2;2;2
"64";35;49904;"3549904005009";3045949;31,823821301648;3;13;50;0;1;2;1980;2010;8000840;2;2;2;2
"65";35;49904;"3549904005009";3576290;14,1170948233402;3;13;50;0;1;2;1988;2010;8000826;2;2;2;2
"66";35;49904;"3549904005009";3628680;22,114078633528;3;13;50;0;1;1;1987;2009;8000826;2;2;2;2
"67";35;49904;"3549904005009";3636530;20,512856696357;3;13;50;0;1;1;1984;2009;8000840;2;2;2;2
"68";35;49904;"3549904005009";3636530;20,512856696357;3;13;50;0;1;2;1983;2008;8000840;2;2;2;2
"69";35;49904;"3549904005009";5164225;28,1574058887882;3;13;50;0;1;2;1981;2007;8000392;2;2;2;2
"70";35;49904;"3549904005009";5289243;20,0794938515557;3;13;50;0;1;2;1981;2004;8000124;2;2;2;2
"71";35;49904;"3549904005009";5449385;26,9925901203732;3;13;50;0;1;1;1952;2007;8000392;2;2;2;2
"72";35;49904;"3549904005009";6094855;16,4742929643987;3;13;50;0;1;1;1988;2009;8000036;2;2;2;2
"73";35;49904;"3549904005009";6177374;21,1611044602489;3;13;50;0;1;1;1983;2005;8000724;2;2;2;2
"74";35;49904;"3549904005010";516508;18,1301301590252;3;13;50;0;1;2;1985;1996;8000840;2;2;2;2
"75";35;49904;"3549904005010";516508;18,1301301590252;3;13;50;0;1;2;1983;1996;8000840;2;2;2;2
"76";35;49904;"3549904005010";5325836;22,2489395468103;3;13;50;0;1;2;1980;2006;8000276;2;2;2;2
"77";35;49904;"3549904005010";6074145;28,1776306222399;3;13;50;0;1;2;1983;2009;8000250;2;2;2;2
"78";35;49904;"3549904005011";2108692;22,2921646562914;3;13;50;0;1;2;1975;2007;8000380;2;2;2;2
"79";35;49904;"3549904005011";4878878;24,4831973463652;3;13;50;0;1;2;1990;2009;8000840;2;2;2;2
"80";35;49904;"3549904005012";343478;16,7947911093955;3;13;50;0;1;1;1979;2005;8000124;2;2;2;2
"81";35;49904;"3549904005012";700293;21,945623484909;3;13;50;0;1;1;1978;2001;8000392;2;2;2;2
"82";35;49904;"3549904005012";852180;19,4997868817977;3;13;50;0;1;1;1970;2002;8000250;2;2;2;2
"83";35;49904;"3549904005012";1289756;20,6824087345307;3;13;50;0;1;2;1981;2009;8000392;2;2;2;2
"84";35;49904;"3549904005012";1289756;20,6824087345307;3;13;50;0;1;1;1953;2003;8000392;2;2;2;2
"85";35;49904;"3549904005012";1349332;18,959205855826;3;13;50;0;1;2;1986;2010;8000840;2;2;2;2
"86";35;49904;"3549904005012";1637991;18,0934687529641;3;13;50;0;1;2;1962;2001;8000756;2;2;2;2
"87";35;49904;"3549904005012";2018229;19,793638960799;3;13;50;0;1;2;1983;2010;8000826;2;2;2;2
"88";35;49904;"3549904005012";2727892;18,0934687529641;3;13;50;0;1;2;1967;2004;8000756;2;2;2;2
"89";35;49904;"3549904005012";2843350;16,4132943445719;3;13;50;0;1;2;1978;2002;8000840;2;2;2;2
"90";35;49904;"3549904005012";3242723;17,5433042075762;3;13;50;0;1;1;1982;2008;8000250;2;2;2;2
"91";35;49904;"3549904005012";3314243;20,0190290307745;3;13;50;0;1;2;1964;2010;8000392;2;2;2;2
"92";35;49904;"3549904005012";3322966;18,6354394320612;3;13;50;0;1;2;1975;2009;8000392;2;2;2;2
"93";35;49904;"3549904005012";3322966;18,6354394320612;3;13;50;0;1;2;1972;2009;8000392;2;2;2;2
"94";35;49904;"3549904005012";5124731;25,8319902772617;3;13;50;0;1;1;1980;2010;8000826;2;2;2;2
"95";35;49904;"3549904005012";5349465;24,4763856897365;3;13;50;0;1;1;1983;2008;8000036;2;2;2;2
"96";35;49904;"3549904005012";5949445;15,5681191350418;3;13;50;0;1;1;1969;2006;8000826;2;2;2;2
"97";35;49904;"3549904005013";63970;25,0710860535341;3;13;50;0;1;2;1960;1990;8000826;2;2;2;2
"98";35;49904;"3549904005013";663052;21,5019735488627;3;13;50;0;1;1;1968;2007;8000392;2;2;2;2
"99";35;49904;"3549904005013";663052;21,5019735488627;3;13;50;0;1;2;1967;2007;8000392;2;2;2;2
"100";35;49904;"3549904005013";694479;25,1714027740649;3;13;50;0;1;1;1961;1991;8000392;2;2;2;2
"101";35;49904;"3549904005013";1032940;20,6744165793582;3;13;50;0;1;1;1987;2010;8000458;2;2;2;2
"102";35;49904;"3549904005013";1330356;14,9102429312397;3;13;50;0;1;2;1987;2004;8000392;2;2;2;2
"103";35;49904;"3549904005013";1330356;14,9102429312397;3;13;50;0;1;2;1984;2005;8000392;2;2;2;2
"104";35;49904;"3549904005013";1425502;21,1784312841369;3;13;50;0;1;1;1971;1998;8000392;2;2;2;2
"105";35;49904;"3549904005013";1425502;21,1784312841369;3;13;50;0;1;2;1973;2008;8000392;2;2;2;2
"106";35;49904;"3549904005013";1922014;20,9318409208876;3;13;50;0;1;1;1960;2005;8000392;2;2;2;2
"107";35;49904;"3549904005013";2308233;20,698504784427;3;13;50;0;1;1;1979;2006;8000528;2;2;2;2
"108";35;49904;"3549904005013";2308233;20,698504784427;3;13;50;0;1;1;1977;2008;8000578;2;2;2;2
"109";35;49904;"3549904005013";2445408;22,88956975162;3;13;50;0;1;2;1965;2000;8000840;2;2;2;2
"110";35;49904;"3549904005013";2754108;25,1199530399089;3;13;50;0;1;2;1959;1996;8000840;2;2;2;2
"111";35;49904;"3549904005013";3115415;18,1627183969483;3;13;50;0;1;1;1982;2004;8000392;2;2;2;2
"112";35;49904;"3549904005013";3422446;19,3201849958308;3;13;50;0;1;1;1991;2000;8000392;2;2;2;2
"113";35;49904;"3549904005013";3540353;23,5631414445827;3;13;50;0;1;2;1972;2006;8000392;2;2;2;2
"114";35;49904;"3549904005013";3704306;23,5275610057258;3;13;50;0;1;1;1974;1990;8000392;2;2;2;2
"115";35;49904;"3549904005013";3704306;23,5275610057258;3;13;50;0;1;2;1974;1996;8000392;2;2;2;2
"116";35;49904;"3549904005013";4234632;23,2704305233697;3;13;50;0;1;2;1981;2006;8000392;2;2;2;2
"117";35;49904;"3549904005013";4376287;18,018634293632;3;13;50;0;1;1;1959;2009;8000036;2;2;2;2
"118";35;49904;"3549904005013";4501717;26,3712632166968;3;13;50;0;1;1;1960;2010;8000024;2;2;2;2
"119";35;49904;"3549904005013";4748810;21,696615797757;3;13;50;0;1;1;1958;2010;8000724;2;2;2;2
"120";35;49904;"3549904005013";4834209;23,3018414382897;3;13;50;0;1;1;1974;2008;8000724;2;2;2;2
"121";35;49904;"3549904005013";5157308;18,230465865621;3;13;50;0;1;2;1966;2010;8000208;2;2;2;2
"122";35;49904;"3549904005013";5405997;21,7801633980705;3;13;50;0;1;2;1992;2009;8000840;2;2;2;2
"123";35;49904;"3549904005013";5417821;18,1589300981608;3;13;50;0;1;2;1991;2010;8000032;2;2;2;2
"124";35;49904;"3549904005013";5853449;22,0951741620151;3;13;50;0;1;2;1985;2010;8000620;2;2;2;2
"125";35;49904;"3549904005013";6017390;22,4915725458153;3;13;50;0;1;2;1983;2010;8000840;2;2;2;2
