"";"V0001";"V0002";"V0011";"V0300";"V0010";"V1001";"V1002";"V1003";"V1004";"V1006";"V4001";"V4002";"V0201";"V2011";"V2012";"V0202";"V0203";"V6203";"V0204";"V6204";"V0205";"V0206";"V0207";"V0208";"V0209";"V0210";"V0211";"V0212";"V0213";"V0214";"V0215";"V0216";"V0217";"V0218";"V0219";"V0220";"V0221";"V0222";"V0301";"V0401";"V0402";"V0701";"V6529";"V6530";"V6531";"V6532";"V6600";"V6210";"M0201";"M2011";"M0202";"M0203";"M0204";"M0205";"M0206";"M0207";"M0208";"M0209";"M0210";"M0211";"M0212";"M0213";"M0214";"M0215";"M0216";"M0217";"M0218";"M0219";"M0220";"M0221";"M0222";"M0301";"M0401";"M0402";"M0701"
"3079";35;49904;"3549904005005";2671095;19,4704914578249;3;13;50;0;1;1;11;1;NA;NA;"1";6;0,7;2;2;1;"";1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;4;1;2;3170;6,21569;792,5;1,55392;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3080";35;49904;"3549904005005";2678609;21,549884981635;3;13;50;0;1;1;11;3;350;0,68627;"1";5;0,4;2;1;1;"";1;1;1;1;1;1;1;1;2;1;1;1;2;NA;2;1;2;2;1;2;1200;2,35294;600;1,17647;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3081";35;49904;"3549904005005";2680895;23,0549608897431;3;13;50;0;1;1;11;1;NA;NA;"1";9;0,3;3;1;3;"";1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;3;2;2;2800;5,4902;933,33;1,83007;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3082";35;49904;"3549904005005";2681921;24,0717151907623;3;13;50;0;1;1;11;1;NA;NA;"1";4;0,5;2;1;1;"";1;1;1;1;1;2;2;1;2;1;1;1;2;NA;2;2;2;2;1;2;800;1,56863;400;0,78431;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3083";35;49904;"3549904005005";2689061;29,9215843561679;3;13;50;0;1;1;11;3;300;0,58824;"2";5;0,6;1;3;1;"";1;1;1;2;1;1;1;1;2;1;1;2;2;NA;2;1;2;3;2;2;1780;3,4902;593,33;1,1634;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3084";35;49904;"3549904005005";2693068;24,5147421732225;3;13;50;0;1;1;11;2;NA;NA;"1";5;0,6;2;1,5;1;"";1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;3;1;2;2900;5,68627;966,67;1,89542;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3085";35;49904;"3549904005005";2711663;23,3049169066096;3;13;50;0;1;1;11;2;NA;NA;"1";3;1;1;3;1;"";1;1;1;1;1;1;1;1;2;1;2;2;2;NA;2;2;2;3;1;2;842;1,65098;280,67;0,55033;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3086";35;49904;"3549904005005";2717957;16,5739982940501;3;13;50;0;1;1;11;1;NA;NA;"1";5;0,8;2;2;1;"";1;1;1;1;1;1;1;1;1;1;1;2;2;NA;2;1;2;4;1;2;3000;5,88235;750;1,47059;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3087";35;49904;"3549904005005";2721739;18,8809039524088;3;13;50;0;1;1;11;1;NA;NA;"1";6;0,3;2;1;1;"";1;1;1;1;1;1;1;1;2;1;1;2;2;NA;2;1;2;2;1;2;1570;3,07843;785;1,53922;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3088";35;49904;"3549904005005";2727415;17,8427252186979;3;13;50;0;1;1;14;3;300;0,58824;"1";3;0,3;1;1;1;"";1;1;1;1;1;2;2;1;2;1;1;2;2;NA;2;2;2;1;1;2;1700;3,33333;1700;3,33333;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2
