"";"V0001";"V0002";"V0011";"V0300";"V0010";"V1001";"V1002";"V1003";"V1004";"V1006";"V0703";"V0704";"V7051";"V7052";"M0703";"M0704";"M7051";"M7052"
"52";35;49904;3549904005005;5543764;22,3301155563404;3;13;50;0;1;8;2;56;NA;2;2;2;2
"53";35;49904;3549904005005;6020033;17,354685746986;3;13;50;0;1;1;2;89;NA;2;2;2;2
"54";35;49904;3549904005006;1775543;31,6733356396784;3;13;50;0;1;3;1;64;NA;2;2;2;2
"55";35;49904;3549904005006;2154872;20,7334413741681;3;13;50;0;1;6;2;81;NA;2;2;2;2
"56";35;49904;3549904005006;2291885;23,7311579797242;3;13;50;0;1;5;2;69;NA;2;2;2;2
"57";35;49904;3549904005006;2845287;23,4543676609272;3;13;50;0;1;8;1;68;NA;2;2;2;2
"58";35;49904;3549904005006;2935289;18,1928508788068;3;13;50;0;1;11;2;83;NA;2;2;2;2
"59";35;49904;3549904005006;3382862;20,8387135735237;3;13;50;0;1;11;2;78;NA;2;2;2;2
"60";35;49904;3549904005006;3630664;20,7534045961284;3;13;50;0;1;12;2;67;NA;2;2;2;2
"61";35;49904;3549904005006;3630664;20,7534045961284;3;13;50;0;1;12;1;93;NA;2;2;2;2
"62";35;49904;3549904005006;3716344;18,4886108624554;3;13;50;0;1;1;2;83;NA;2;2;2;2
"63";35;49904;3549904005006;4162895;26,3382090371835;3;13;50;0;1;5;1;58;NA;2;2;2;2
"64";35;49904;3549904005006;5227450;20,2728852707782;3;13;50;0;1;9;2;70;NA;2;2;2;2
"65";35;49904;3549904005006;5391478;21,9494781407888;3;13;50;0;1;9;2;54;NA;2;2;2;2
"66";35;49904;3549904005006;5667263;20,7334413741681;3;13;50;0;1;9;2;75;NA;2;2;2;2
"67";35;49904;3549904005006;6026387;28,244805563996;3;13;50;0;1;9;2;47;NA;2;2;2;2
"68";35;49904;3549904005007;545344;12,5975465589745;3;13;50;0;2;5;1;76;NA;2;2;2;2
"69";35;49904;3549904005007;2503834;3,4536272506581;3;13;50;0;2;12;2;92;NA;2;2;2;2
"70";35;49904;3549904005008;231991;2,2810719493206;3;13;50;0;1;12;2;87;NA;2;2;2;2
"71";35;49904;3549904005008;705411;2,5907386708143;3;13;50;0;2;9;1;104;NA;2;2;2;2
"72";35;49904;3549904005008;1155040;1,0000000000002;3;13;50;0;2;10;1;58;NA;2;2;2;2
"73";35;49904;3549904005008;2033319;2,1281190736923;3;13;50;0;1;6;1;39;NA;2;2;2;2
"74";35;49904;3549904005008;3073192;1,8987180474211;3;13;50;0;1;1;1;92;NA;2;2;2;2
"75";35;49904;3549904005008;3163153;2,5648932648247;3;13;50;0;1;5;1;70;NA;2;2;2;2
"76";35;49904;3549904005008;3199182;1,4565473102349;3;13;50;0;1;12;2;87;NA;2;2;2;2
"77";35;49904;3549904005008;3792385;2,3819903318411;3;13;50;0;1;6;1;86;NA;2;2;2;2
"78";35;49904;3549904005008;4621626;2,5127534912771;3;13;50;0;1;3;1;80;NA;2;2;2;2
"79";35;49904;3549904005008;4688768;2,6583692448207;3;13;50;0;2;4;2;86;NA;2;2;2;2
"80";35;49904;3549904005008;4871290;1,6117368195033;3;13;50;0;1;12;2;75;NA;2;2;2;2
"81";35;49904;3549904005008;5455245;2,5758882856778;3;13;50;0;1;3;1;68;NA;2;2;2;2
"82";35;49904;3549904005008;6170523;2,1567693739823;3;13;50;0;1;8;2;83;NA;2;2;2;2
"83";35;49904;3549904005009;4630585;22,991803023992;3;13;50;0;1;6;2;100;NA;2;2;2;2
"84";35;49904;3549904005010;297861;22,7684809600698;3;13;50;0;1;12;2;78;NA;2;2;2;2
